runid,pa_i,seed,method,vif,mrmr,boruta,dredge,parsimony
86,pa_i1,7,GLM-net,FALSE,TRUE,FALSE,FALSE,FALSE
87,pa_i1,7,GLM-net,FALSE,FALSE,TRUE,FALSE,FALSE
88,pa_i1,7,GLM,TRUE,FALSE,FALSE,FALSE,FALSE
89,pa_i1,7,GLM,FALSE,TRUE,FALSE,FALSE,FALSE
90,pa_i1,7,GLM,FALSE,FALSE,TRUE,FALSE,FALSE
91,pa_i1,7,RF-uni,FALSE,FALSE,FALSE,FALSE,FALSE
92,pa_i1,7,RF-uni,FALSE,FALSE,FALSE,FALSE,TRUE
93,pa_i1,7,RF-MIR,FALSE,FALSE,FALSE,FALSE,FALSE
94,pa_i1,7,RF-MIR,FALSE,FALSE,FALSE,FALSE,TRUE
95,pa_i1,7,RF-BAF,FALSE,FALSE,FALSE,FALSE,FALSE
96,pa_i1,7,RF,TRUE,FALSE,FALSE,FALSE,FALSE
97,pa_i1,7,RF,FALSE,TRUE,FALSE,FALSE,FALSE
98,pa_i1,7,RF,FALSE,FALSE,TRUE,FALSE,FALSE
99,pa_i1,8,GLM-net,TRUE,FALSE,FALSE,FALSE,FALSE
100,pa_i1,8,GLM-net,FALSE,TRUE,FALSE,FALSE,FALSE
101,pa_i1,8,GLM-net,FALSE,FALSE,TRUE,FALSE,FALSE
102,pa_i1,8,GLM,TRUE,FALSE,FALSE,FALSE,FALSE
103,pa_i1,8,GLM,FALSE,TRUE,FALSE,FALSE,FALSE
104,pa_i1,8,GLM,FALSE,FALSE,TRUE,FALSE,FALSE
105,pa_i1,8,RF-uni,FALSE,FALSE,FALSE,FALSE,FALSE
106,pa_i1,8,RF-uni,FALSE,FALSE,FALSE,FALSE,TRUE
107,pa_i1,8,RF-MIR,FALSE,FALSE,FALSE,FALSE,FALSE
108,pa_i1,8,RF-MIR,FALSE,FALSE,FALSE,FALSE,TRUE
109,pa_i1,8,RF-BAF,FALSE,FALSE,FALSE,FALSE,FALSE
110,pa_i1,8,RF,TRUE,FALSE,FALSE,FALSE,FALSE
111,pa_i1,8,RF,FALSE,TRUE,FALSE,FALSE,FALSE
112,pa_i1,8,RF,FALSE,FALSE,TRUE,FALSE,FALSE
113,pa_i1,9,GLM-net,TRUE,FALSE,FALSE,FALSE,FALSE
114,pa_i1,9,GLM-net,FALSE,TRUE,FALSE,FALSE,FALSE
115,pa_i1,9,GLM-net,FALSE,FALSE,TRUE,FALSE,FALSE
116,pa_i1,9,GLM,TRUE,FALSE,FALSE,FALSE,FALSE
117,pa_i1,9,GLM,FALSE,TRUE,FALSE,FALSE,FALSE
118,pa_i1,9,GLM,FALSE,FALSE,TRUE,FALSE,FALSE
119,pa_i1,9,RF-uni,FALSE,FALSE,FALSE,FALSE,FALSE
120,pa_i1,9,RF-uni,FALSE,FALSE,FALSE,FALSE,TRUE
121,pa_i1,9,RF-MIR,FALSE,FALSE,FALSE,FALSE,FALSE
122,pa_i1,9,RF-MIR,FALSE,FALSE,FALSE,FALSE,TRUE
123,pa_i1,9,RF-BAF,FALSE,FALSE,FALSE,FALSE,FALSE
124,pa_i1,9,RF,TRUE,FALSE,FALSE,FALSE,FALSE
125,pa_i1,9,RF,FALSE,TRUE,FALSE,FALSE,FALSE
126,pa_i1,9,RF,FALSE,FALSE,TRUE,FALSE,FALSE
127,pa_i1,10,GLM-net,TRUE,FALSE,FALSE,FALSE,FALSE
128,pa_i1,10,GLM-net,FALSE,TRUE,FALSE,FALSE,FALSE
129,pa_i1,10,GLM-net,FALSE,FALSE,TRUE,FALSE,FALSE
130,pa_i1,10,GLM,TRUE,FALSE,FALSE,FALSE,FALSE
131,pa_i1,10,GLM,FALSE,TRUE,FALSE,FALSE,FALSE
132,pa_i1,10,GLM,FALSE,FALSE,TRUE,FALSE,FALSE
133,pa_i1,10,RF-uni,FALSE,FALSE,FALSE,FALSE,FALSE
134,pa_i1,10,RF-uni,FALSE,FALSE,FALSE,FALSE,TRUE
135,pa_i1,10,RF-MIR,FALSE,FALSE,FALSE,FALSE,FALSE
136,pa_i1,10,RF-MIR,FALSE,FALSE,FALSE,FALSE,TRUE
137,pa_i1,10,RF-BAF,FALSE,FALSE,FALSE,FALSE,FALSE
138,pa_i1,10,RF,TRUE,FALSE,FALSE,FALSE,FALSE
139,pa_i1,10,RF,FALSE,TRUE,FALSE,FALSE,FALSE
140,pa_i1,10,RF,FALSE,FALSE,TRUE,FALSE,FALSE
141,pa_i2,1,GLM-net,TRUE,FALSE,FALSE,FALSE,FALSE
142,pa_i2,1,GLM-net,FALSE,TRUE,FALSE,FALSE,FALSE
143,pa_i2,1,GLM-net,FALSE,FALSE,TRUE,FALSE,FALSE
144,pa_i2,1,GLM,TRUE,FALSE,FALSE,FALSE,FALSE
145,pa_i2,1,GLM,FALSE,TRUE,FALSE,FALSE,FALSE
146,pa_i2,1,GLM,FALSE,FALSE,TRUE,FALSE,FALSE
147,pa_i2,1,RF-uni,FALSE,FALSE,FALSE,FALSE,FALSE
148,pa_i2,1,RF-uni,FALSE,FALSE,FALSE,FALSE,TRUE
149,pa_i2,1,RF-MIR,FALSE,FALSE,FALSE,FALSE,FALSE
150,pa_i2,1,RF-MIR,FALSE,FALSE,FALSE,FALSE,TRUE
151,pa_i2,1,RF-BAF,FALSE,FALSE,FALSE,FALSE,FALSE
152,pa_i2,1,RF,TRUE,FALSE,FALSE,FALSE,FALSE
153,pa_i2,1,RF,FALSE,TRUE,FALSE,FALSE,FALSE
154,pa_i2,1,RF,FALSE,FALSE,TRUE,FALSE,FALSE
155,pa_i2,2,GLM-net,TRUE,FALSE,FALSE,FALSE,FALSE
156,pa_i2,2,GLM-net,FALSE,TRUE,FALSE,FALSE,FALSE
157,pa_i2,2,GLM-net,FALSE,FALSE,TRUE,FALSE,FALSE
158,pa_i2,2,GLM,TRUE,FALSE,FALSE,FALSE,FALSE
159,pa_i2,2,GLM,FALSE,TRUE,FALSE,FALSE,FALSE
160,pa_i2,2,GLM,FALSE,FALSE,TRUE,FALSE,FALSE
161,pa_i2,2,RF-uni,FALSE,FALSE,FALSE,FALSE,FALSE
162,pa_i2,2,RF-uni,FALSE,FALSE,FALSE,FALSE,TRUE
163,pa_i2,2,RF-MIR,FALSE,FALSE,FALSE,FALSE,FALSE
164,pa_i2,2,RF-MIR,FALSE,FALSE,FALSE,FALSE,TRUE
165,pa_i2,2,RF-BAF,FALSE,FALSE,FALSE,FALSE,FALSE
166,pa_i2,2,RF,TRUE,FALSE,FALSE,FALSE,FALSE
167,pa_i2,2,RF,FALSE,TRUE,FALSE,FALSE,FALSE
168,pa_i2,2,RF,FALSE,FALSE,TRUE,FALSE,FALSE
169,pa_i2,3,GLM-net,TRUE,FALSE,FALSE,FALSE,FALSE
170,pa_i2,3,GLM-net,FALSE,TRUE,FALSE,FALSE,FALSE
171,pa_i2,3,GLM-net,FALSE,FALSE,TRUE,FALSE,FALSE
172,pa_i2,3,GLM,TRUE,FALSE,FALSE,FALSE,FALSE
173,pa_i2,3,GLM,FALSE,TRUE,FALSE,FALSE,FALSE
174,pa_i2,3,GLM,FALSE,FALSE,TRUE,FALSE,FALSE
175,pa_i2,3,RF-uni,FALSE,FALSE,FALSE,FALSE,FALSE
176,pa_i2,3,RF-uni,FALSE,FALSE,FALSE,FALSE,TRUE
177,pa_i2,3,RF-MIR,FALSE,FALSE,FALSE,FALSE,FALSE
178,pa_i2,3,RF-MIR,FALSE,FALSE,FALSE,FALSE,TRUE
179,pa_i2,3,RF-BAF,FALSE,FALSE,FALSE,FALSE,FALSE
180,pa_i2,3,RF,TRUE,FALSE,FALSE,FALSE,FALSE
181,pa_i2,3,RF,FALSE,TRUE,FALSE,FALSE,FALSE
182,pa_i2,3,RF,FALSE,FALSE,TRUE,FALSE,FALSE
183,pa_i2,4,GLM-net,TRUE,FALSE,FALSE,FALSE,FALSE
184,pa_i2,4,GLM-net,FALSE,TRUE,FALSE,FALSE,FALSE
185,pa_i2,4,GLM-net,FALSE,FALSE,TRUE,FALSE,FALSE
186,pa_i2,4,GLM,TRUE,FALSE,FALSE,FALSE,FALSE
187,pa_i2,4,GLM,FALSE,TRUE,FALSE,FALSE,FALSE
188,pa_i2,4,GLM,FALSE,FALSE,TRUE,FALSE,FALSE
189,pa_i2,4,RF-uni,FALSE,FALSE,FALSE,FALSE,FALSE
190,pa_i2,4,RF-uni,FALSE,FALSE,FALSE,FALSE,TRUE
191,pa_i2,4,RF-MIR,FALSE,FALSE,FALSE,FALSE,FALSE
192,pa_i2,4,RF-MIR,FALSE,FALSE,FALSE,FALSE,TRUE
193,pa_i2,4,RF-BAF,FALSE,FALSE,FALSE,FALSE,FALSE
194,pa_i2,4,RF,TRUE,FALSE,FALSE,FALSE,FALSE
195,pa_i2,4,RF,FALSE,TRUE,FALSE,FALSE,FALSE
196,pa_i2,4,RF,FALSE,FALSE,TRUE,FALSE,FALSE
197,pa_i2,5,GLM-net,TRUE,FALSE,FALSE,FALSE,FALSE
198,pa_i2,5,GLM-net,FALSE,TRUE,FALSE,FALSE,FALSE
199,pa_i2,5,GLM-net,FALSE,FALSE,TRUE,FALSE,FALSE
200,pa_i2,5,GLM,TRUE,FALSE,FALSE,FALSE,FALSE
201,pa_i2,5,GLM,FALSE,TRUE,FALSE,FALSE,FALSE
202,pa_i2,5,GLM,FALSE,FALSE,TRUE,FALSE,FALSE
203,pa_i2,5,RF-uni,FALSE,FALSE,FALSE,FALSE,FALSE
204,pa_i2,5,RF-uni,FALSE,FALSE,FALSE,FALSE,TRUE
205,pa_i2,5,RF-MIR,FALSE,FALSE,FALSE,FALSE,FALSE
206,pa_i2,5,RF-MIR,FALSE,FALSE,FALSE,FALSE,TRUE
207,pa_i2,5,RF-BAF,FALSE,FALSE,FALSE,FALSE,FALSE
208,pa_i2,5,RF,TRUE,FALSE,FALSE,FALSE,FALSE
209,pa_i2,5,RF,FALSE,TRUE,FALSE,FALSE,FALSE
210,pa_i2,5,RF,FALSE,FALSE,TRUE,FALSE,FALSE
211,pa_i2,6,GLM-net,TRUE,FALSE,FALSE,FALSE,FALSE
212,pa_i2,6,GLM-net,FALSE,TRUE,FALSE,FALSE,FALSE
213,pa_i2,6,GLM-net,FALSE,FALSE,TRUE,FALSE,FALSE
214,pa_i2,6,GLM,TRUE,FALSE,FALSE,FALSE,FALSE
215,pa_i2,6,GLM,FALSE,TRUE,FALSE,FALSE,FALSE
216,pa_i2,6,GLM,FALSE,FALSE,TRUE,FALSE,FALSE
217,pa_i2,6,RF-uni,FALSE,FALSE,FALSE,FALSE,FALSE
218,pa_i2,6,RF-uni,FALSE,FALSE,FALSE,FALSE,TRUE
219,pa_i2,6,RF-MIR,FALSE,FALSE,FALSE,FALSE,FALSE
220,pa_i2,6,RF-MIR,FALSE,FALSE,FALSE,FALSE,TRUE
221,pa_i2,6,RF-BAF,FALSE,FALSE,FALSE,FALSE,FALSE
222,pa_i2,6,RF,TRUE,FALSE,FALSE,FALSE,FALSE
223,pa_i2,6,RF,FALSE,TRUE,FALSE,FALSE,FALSE
224,pa_i2,6,RF,FALSE,FALSE,TRUE,FALSE,FALSE
225,pa_i2,7,GLM-net,TRUE,FALSE,FALSE,FALSE,FALSE
226,pa_i2,7,GLM-net,FALSE,TRUE,FALSE,FALSE,FALSE
227,pa_i2,7,GLM-net,FALSE,FALSE,TRUE,FALSE,FALSE
228,pa_i2,7,GLM,TRUE,FALSE,FALSE,FALSE,FALSE
229,pa_i2,7,GLM,FALSE,TRUE,FALSE,FALSE,FALSE
230,pa_i2,7,GLM,FALSE,FALSE,TRUE,FALSE,FALSE
231,pa_i2,7,RF-uni,FALSE,FALSE,FALSE,FALSE,FALSE
232,pa_i2,7,RF-uni,FALSE,FALSE,FALSE,FALSE,TRUE
233,pa_i2,7,RF-MIR,FALSE,FALSE,FALSE,FALSE,FALSE
234,pa_i2,7,RF-MIR,FALSE,FALSE,FALSE,FALSE,TRUE
235,pa_i2,7,RF-BAF,FALSE,FALSE,FALSE,FALSE,FALSE
236,pa_i2,7,RF,TRUE,FALSE,FALSE,FALSE,FALSE
237,pa_i2,7,RF,FALSE,TRUE,FALSE,FALSE,FALSE
238,pa_i2,7,RF,FALSE,FALSE,TRUE,FALSE,FALSE
239,pa_i2,8,GLM-net,TRUE,FALSE,FALSE,FALSE,FALSE
240,pa_i2,8,GLM-net,FALSE,TRUE,FALSE,FALSE,FALSE
241,pa_i2,8,GLM-net,FALSE,FALSE,TRUE,FALSE,FALSE
242,pa_i2,8,GLM,TRUE,FALSE,FALSE,FALSE,FALSE
243,pa_i2,8,GLM,FALSE,TRUE,FALSE,FALSE,FALSE
244,pa_i2,8,GLM,FALSE,FALSE,TRUE,FALSE,FALSE
245,pa_i2,8,RF-uni,FALSE,FALSE,FALSE,FALSE,FALSE
246,pa_i2,8,RF-uni,FALSE,FALSE,FALSE,FALSE,TRUE
247,pa_i2,8,RF-MIR,FALSE,FALSE,FALSE,FALSE,FALSE
248,pa_i2,8,RF-MIR,FALSE,FALSE,FALSE,FALSE,TRUE
249,pa_i2,8,RF-BAF,FALSE,FALSE,FALSE,FALSE,FALSE
250,pa_i2,8,RF,TRUE,FALSE,FALSE,FALSE,FALSE
251,pa_i2,8,RF,FALSE,TRUE,FALSE,FALSE,FALSE
252,pa_i2,8,RF,FALSE,FALSE,TRUE,FALSE,FALSE
253,pa_i2,9,GLM-net,TRUE,FALSE,FALSE,FALSE,FALSE
254,pa_i2,9,GLM-net,FALSE,TRUE,FALSE,FALSE,FALSE
255,pa_i2,9,GLM-net,FALSE,FALSE,TRUE,FALSE,FALSE
256,pa_i2,9,GLM,TRUE,FALSE,FALSE,FALSE,FALSE
257,pa_i2,9,GLM,FALSE,TRUE,FALSE,FALSE,FALSE
258,pa_i2,9,GLM,FALSE,FALSE,TRUE,FALSE,FALSE
259,pa_i2,9,RF-uni,FALSE,FALSE,FALSE,FALSE,FALSE
260,pa_i2,9,RF-uni,FALSE,FALSE,FALSE,FALSE,TRUE
261,pa_i2,9,RF-MIR,FALSE,FALSE,FALSE,FALSE,FALSE
262,pa_i2,9,RF-MIR,FALSE,FALSE,FALSE,FALSE,TRUE
263,pa_i2,9,RF-BAF,FALSE,FALSE,FALSE,FALSE,FALSE
264,pa_i2,9,RF,TRUE,FALSE,FALSE,FALSE,FALSE
265,pa_i2,9,RF,FALSE,TRUE,FALSE,FALSE,FALSE
266,pa_i2,9,RF,FALSE,FALSE,TRUE,FALSE,FALSE
267,pa_i2,10,GLM-net,TRUE,FALSE,FALSE,FALSE,FALSE
268,pa_i2,10,GLM-net,FALSE,TRUE,FALSE,FALSE,FALSE
269,pa_i2,10,GLM-net,FALSE,FALSE,TRUE,FALSE,FALSE
270,pa_i2,10,GLM,TRUE,FALSE,FALSE,FALSE,FALSE
271,pa_i2,10,GLM,FALSE,TRUE,FALSE,FALSE,FALSE
272,pa_i2,10,GLM,FALSE,FALSE,TRUE,FALSE,FALSE
273,pa_i2,10,RF-uni,FALSE,FALSE,FALSE,FALSE,FALSE
274,pa_i2,10,RF-uni,FALSE,FALSE,FALSE,FALSE,TRUE
275,pa_i2,10,RF-MIR,FALSE,FALSE,FALSE,FALSE,FALSE
276,pa_i2,10,RF-MIR,FALSE,FALSE,FALSE,FALSE,TRUE
277,pa_i2,10,RF-BAF,FALSE,FALSE,FALSE,FALSE,FALSE
278,pa_i2,10,RF,TRUE,FALSE,FALSE,FALSE,FALSE
279,pa_i2,10,RF,FALSE,TRUE,FALSE,FALSE,FALSE
280,pa_i2,10,RF,FALSE,FALSE,TRUE,FALSE,FALSE
281,pa_i3,1,GLM-net,TRUE,FALSE,FALSE,FALSE,FALSE
282,pa_i3,1,GLM-net,FALSE,TRUE,FALSE,FALSE,FALSE
283,pa_i3,1,GLM-net,FALSE,FALSE,TRUE,FALSE,FALSE
284,pa_i3,1,GLM,TRUE,FALSE,FALSE,FALSE,FALSE
285,pa_i3,1,GLM,FALSE,TRUE,FALSE,FALSE,FALSE
286,pa_i3,1,GLM,FALSE,FALSE,TRUE,FALSE,FALSE
287,pa_i3,1,RF-uni,FALSE,FALSE,FALSE,FALSE,FALSE
288,pa_i3,1,RF-uni,FALSE,FALSE,FALSE,FALSE,TRUE
289,pa_i3,1,RF-MIR,FALSE,FALSE,FALSE,FALSE,FALSE
290,pa_i3,1,RF-MIR,FALSE,FALSE,FALSE,FALSE,TRUE
291,pa_i3,1,RF-BAF,FALSE,FALSE,FALSE,FALSE,FALSE
292,pa_i3,1,RF,TRUE,FALSE,FALSE,FALSE,FALSE
293,pa_i3,1,RF,FALSE,TRUE,FALSE,FALSE,FALSE
294,pa_i3,1,RF,FALSE,FALSE,TRUE,FALSE,FALSE
295,pa_i3,2,GLM-net,TRUE,FALSE,FALSE,FALSE,FALSE
296,pa_i3,2,GLM-net,FALSE,TRUE,FALSE,FALSE,FALSE
297,pa_i3,2,GLM-net,FALSE,FALSE,TRUE,FALSE,FALSE
298,pa_i3,2,GLM,TRUE,FALSE,FALSE,FALSE,FALSE
299,pa_i3,2,GLM,FALSE,TRUE,FALSE,FALSE,FALSE
300,pa_i3,2,GLM,FALSE,FALSE,TRUE,FALSE,FALSE
301,pa_i3,2,RF-uni,FALSE,FALSE,FALSE,FALSE,FALSE
302,pa_i3,2,RF-uni,FALSE,FALSE,FALSE,FALSE,TRUE
303,pa_i3,2,RF-MIR,FALSE,FALSE,FALSE,FALSE,FALSE
304,pa_i3,2,RF-MIR,FALSE,FALSE,FALSE,FALSE,TRUE
305,pa_i3,2,RF-BAF,FALSE,FALSE,FALSE,FALSE,FALSE
306,pa_i3,2,RF,TRUE,FALSE,FALSE,FALSE,FALSE
307,pa_i3,2,RF,FALSE,TRUE,FALSE,FALSE,FALSE
308,pa_i3,2,RF,FALSE,FALSE,TRUE,FALSE,FALSE
309,pa_i3,3,GLM-net,TRUE,FALSE,FALSE,FALSE,FALSE
310,pa_i3,3,GLM-net,FALSE,TRUE,FALSE,FALSE,FALSE
311,pa_i3,3,GLM-net,FALSE,FALSE,TRUE,FALSE,FALSE
312,pa_i3,3,GLM,TRUE,FALSE,FALSE,FALSE,FALSE
313,pa_i3,3,GLM,FALSE,TRUE,FALSE,FALSE,FALSE
314,pa_i3,3,GLM,FALSE,FALSE,TRUE,FALSE,FALSE
315,pa_i3,3,RF-uni,FALSE,FALSE,FALSE,FALSE,FALSE
316,pa_i3,3,RF-uni,FALSE,FALSE,FALSE,FALSE,TRUE
317,pa_i3,3,RF-MIR,FALSE,FALSE,FALSE,FALSE,FALSE
318,pa_i3,3,RF-MIR,FALSE,FALSE,FALSE,FALSE,TRUE
319,pa_i3,3,RF-BAF,FALSE,FALSE,FALSE,FALSE,FALSE
320,pa_i3,3,RF,TRUE,FALSE,FALSE,FALSE,FALSE
321,pa_i3,3,RF,FALSE,TRUE,FALSE,FALSE,FALSE
322,pa_i3,3,RF,FALSE,FALSE,TRUE,FALSE,FALSE
323,pa_i3,4,GLM-net,TRUE,FALSE,FALSE,FALSE,FALSE
324,pa_i3,4,GLM-net,FALSE,TRUE,FALSE,FALSE,FALSE
325,pa_i3,4,GLM-net,FALSE,FALSE,TRUE,FALSE,FALSE
326,pa_i3,4,GLM,TRUE,FALSE,FALSE,FALSE,FALSE
327,pa_i3,4,GLM,FALSE,TRUE,FALSE,FALSE,FALSE
328,pa_i3,4,GLM,FALSE,FALSE,TRUE,FALSE,FALSE
329,pa_i3,4,RF-uni,FALSE,FALSE,FALSE,FALSE,FALSE
330,pa_i3,4,RF-uni,FALSE,FALSE,FALSE,FALSE,TRUE
331,pa_i3,4,RF-MIR,FALSE,FALSE,FALSE,FALSE,FALSE
332,pa_i3,4,RF-MIR,FALSE,FALSE,FALSE,FALSE,TRUE
333,pa_i3,4,RF-BAF,FALSE,FALSE,FALSE,FALSE,FALSE
334,pa_i3,4,RF,TRUE,FALSE,FALSE,FALSE,FALSE
335,pa_i3,4,RF,FALSE,TRUE,FALSE,FALSE,FALSE
336,pa_i3,4,RF,FALSE,FALSE,TRUE,FALSE,FALSE
337,pa_i3,5,GLM-net,TRUE,FALSE,FALSE,FALSE,FALSE
338,pa_i3,5,GLM-net,FALSE,TRUE,FALSE,FALSE,FALSE
339,pa_i3,5,GLM-net,FALSE,FALSE,TRUE,FALSE,FALSE
340,pa_i3,5,GLM,TRUE,FALSE,FALSE,FALSE,FALSE
341,pa_i3,5,GLM,FALSE,TRUE,FALSE,FALSE,FALSE
342,pa_i3,5,GLM,FALSE,FALSE,TRUE,FALSE,FALSE
343,pa_i3,5,RF-uni,FALSE,FALSE,FALSE,FALSE,FALSE
344,pa_i3,5,RF-uni,FALSE,FALSE,FALSE,FALSE,TRUE
345,pa_i3,5,RF-MIR,FALSE,FALSE,FALSE,FALSE,FALSE
346,pa_i3,5,RF-MIR,FALSE,FALSE,FALSE,FALSE,TRUE
